Rank,H1B Visa Sponsor,Job Title,Number of LCA,Average Salary
197,Technet,Software Developer,15,"$78,200 "
92,Agama Solutions,Business Analyst,15,"$78,390 "
196,Mentorus Global,Software Developer,15,"$78,490 "
195,North Point It,Software Developer,15,"$80,267 "
194,Take Enterprise Services,Software Developer,15,"$80,413 "
25,Datamatics Consultants,Programmer/Analyst,15,"$80,882 "
89,Deebecon,Computer Systems Analyst,15,"$81,851 "
143,Zgage,Systems Analyst,15,"$82,873 "
142,Thinc Systems,Systems Analyst,15,"$86,235 "
192,Happiest Minds Technologies Private,Software Developer,15,"$88,303 "
88,Addon Technologies,Computer Systems Analyst,15,"$96,433 "
191,Graviton Consulting Services,Software Developer,15,"$101,400 "
53,Cybersource,Senior Software Engineer,15,"$109,010 "
9,Ariba,Developer,15,"$112,667 "
52,Salesforce.Com,Senior Software Engineer,15,"$119,409 "
132,Human Resource And Knowledge,Computer Programmer,14,"$57,179 "
106,Opensoft,Business Analyst,14,"$57,857 "
158,American Technology Labs,Systems Analyst,14,"$59,607 "
130,Value Software Products,Computer Programmer,14,"$60,857 "
129,Insyst,Computer Programmer,14,"$61,000 "
127,Sumas,Computer Programmer,14,"$62,543 "
126,Magnus Technology Solutions,Computer Programmer,14,"$62,643 "
225,Expedent,Software Developer,14,"$63,000 "
101,Suntec Business Solutions Private,Computer Systems Analyst,14,"$63,172 "
155,Aquil Systems,Systems Analyst,14,"$63,480 "
154,Opel Systems,Systems Analyst,14,"$63,985 "
223,Wise Equation Solutions,Software Developer,14,"$64,643 "
100,Synergy Global Systems,Computer Systems Analyst,14,"$65,000 "
153,Visam Technologies,Systems Analyst,14,"$65,648 "
103,Y-Axis,Business Analyst,14,"$67,447 "
60,Accel International,Senior Software Engineer,14,"$67,629 "
221,Kiranam Technologies,Software Developer,14,"$68,250 "
125,Gdn Infotech,Computer Programmer,14,"$69,132 "
124,Inspirix Technologies,Computer Programmer,14,"$69,429 "
152,Eminent Software Services,Systems Analyst,14,"$69,450 "
102,Sbm Group,Business Analyst,14,"$70,432 "
220,Fusion Plus Solutions,Software Developer,14,"$72,071 "
123,Zedventures,Computer Programmer,14,"$72,143 "
12,Vuesol Technologies,Application Developer,14,"$72,321 "
150,Cybersoft Technologies,Systems Analyst,14,"$72,643 "
219,Aclat,Software Developer,14,"$74,250 "
99,Ajace,Computer Systems Analyst,14,"$74,696 "
122,Dw Practice,Computer Programmer,14,"$75,000 "
31,Xduce,Database Administrator,14,"$77,393 "
58,Clairvoyant,Senior Software Engineer,14,"$77,571 "
121,Z And A Infotek,Computer Programmer,14,"$82,354 "
217,Trendset It,Software Developer,14,"$82,357 "
39,Micronet Solutions,Computer Programmer Analyst,14,"$83,514 "
216,Software Merchant,Software Developer,14,"$85,410 "
215,Galax-Esystems,Software Developer,14,"$86,857 "
214,Responsive Technologies,Software Developer,14,"$88,690 "
120,Kapstone Technologies,Computer Programmer,14,"$91,980 "
57,Spirent Communications,Senior Software Engineer,14,"$92,358 "
56,Reed Elsevier (Lexisnexis Division),Senior Software Engineer,14,"$109,187 "
55,Comcast Cable Communications,Senior Software Engineer,14,"$122,159 "
54,Servicenow,Senior Software Engineer,14,"$135,124 "
146,Agilis Systems LLC,Computer Programmer,13,"$40,289 "
145,Egrove Systems,Computer Programmer,13,"$51,605 "
121,Logical Paradigm,Business Analyst,13,"$55,576 "
21,Verans Business Solutions,Qa Analyst,13,"$59,046 "
142,Arvytech,Computer Programmer,13,"$60,538 "
108,Worldwide Distribution Systems Usa,Computer Systems Analyst,13,"$60,766 "
141,Surya Systems,Computer Programmer,13,"$60,943 "
140,Pcb Apps,Computer Programmer,13,"$61,154 "
173,Geonine,Systems Analyst,13,"$61,920 "
172,E-Nexus,Systems Analyst,13,"$62,023 "
43,Fog To Cloud Technologies,Computer Programmer Analyst,13,"$62,446 "
107,Axis Technology Solutions Inc,Computer Systems Analyst,13,"$63,000 "
139,Alliance Information Technology And Computer Software Solutions,Computer Programmer,13,"$63,076 "
20,Dw Matrix,Qa Analyst,13,"$63,447 "
42,Meridian Software Solutions,Computer Programmer Analyst,13,"$63,538 "
31,Sena Info Technologies,Java Developer,13,"$64,128 "
30,Talent9,Java Developer,13,"$64,187 "
168,Applied It,Systems Analyst,13,"$64,231 "
116,Infospan,Business Analyst,13,"$64,800 "
29,Kronsys,Java Developer,13,"$64,817 "
41,Kyra Solutions; (Fka: Kyra Infotech),Computer Programmer Analyst,13,"$66,538 "
105,American Infotech Solutions,Computer Systems Analyst,13,"$66,769 "
8,Groupm Worldwide,Data Analyst,13,"$67,077 "
113,Essani International,Business Analyst,13,"$67,189 "
104,Dextro Software Systems,Computer Systems Analyst,13,"$67,978 "
112,Logic Planet,Business Analyst,13,"$68,880 "
19,New York Technology Partners,Qa Analyst,13,"$70,000 "
110,Excelto Solutions,Business Analyst,13,"$70,671 "
136,Itvision,Computer Programmer,13,"$71,308 "
166,Global Technical Software Services,Systems Analyst,13,"$71,846 "
164,Bahwan Cybertek,Systems Analyst,13,"$75,239 "
28,Technical Strategies,Java Developer,13,"$75,862 "
134,Ispace,Computer Programmer,13,"$78,192 "
163,Snuvik Technologies,Systems Analyst,13,"$82,077 "
40,Symbol Software Services,Computer Programmer Analyst,13,"$82,462 "
162,Virtue Group,Systems Analyst,13,"$84,808 "
64,Staples,Senior Software Engineer,13,"$95,633 "
63,Optum Services,Senior Software Engineer,13,"$107,418 "
159,Krypt,Systems Analyst,13,"$112,793 "
107,Tekwissen,Business Analyst,13,"$117,531 "
61,Wellington Management Company,Senior Software Engineer,13,"$124,808 "
46,Paramount Global Solutions,Computer Programmer Analyst,12,"$45,011 "
28,Db Services Nj,Programmer/Analyst,12,"$50,072 "
137,Armstrong Technologies,Business Analyst,12,"$57,133 "
136,Platys Group,Business Analyst,12,"$58,183 "
135,Talentedge,Business Analyst,12,"$59,583 "
25,Masterex Technologies,Qa Analyst,12,"$60,000 "
43,Tnp Systems,Database Administrator,12,"$60,183 "
155,Adalisoft,Computer Programmer,12,"$60,333 "
154,Technovators,Computer Programmer,12,"$60,583 "
153,Creative Information Technology,Computer Programmer,12,"$60,962 "
23,Orpine,Qa Analyst,12,"$61,496 "
113,Eximius Systems,Computer Systems Analyst,12,"$62,833 "
130,Silverxis,Business Analyst,12,"$63,333 "
152,Professional Software Consulting Services(Pscs),Computer Programmer,12,"$64,000 "
151,Ekin Solutions,Computer Programmer,12,"$64,350 "
149,Numbers Only,Computer Programmer,12,"$64,958 "
179,Xylo Consulting,Systems Analyst,12,"$65,000 "
148,Expedient Consulting Services,Computer Programmer,12,"$65,000 "
178,Spl Consulting,Systems Analyst,12,"$66,417 "
128,Apex Technology Systems,Business Analyst,12,"$66,506 "
10,Ulab,Data Analyst,12,"$66,625 "
27,Compass Lexecon,Programmer/Analyst,12,"$68,287 "
42,Sterling 5,Database Administrator,12,"$68,297 "
177,Silicus Technologies,Systems Analyst,12,"$68,517 "
147,Millenium Software Consulting,Computer Programmer,12,"$68,804 "
38,Channel It Solutions,Java Developer,12,"$70,000 "
37,Caprus It,Java Developer,12,"$70,375 "
126,The Advisory Board Company,Business Analyst,12,"$71,584 "
40,Itechstack,Database Administrator,12,"$71,925 "
125,Ericsson,Business Analyst,12,"$72,192 "
36,Canoesys,Java Developer,12,"$74,640 "
176,Conflux Systems,Systems Analyst,12,"$74,689 "
44,Aventerprise,Computer Programmer Analyst,12,"$75,000 "
111,The Principal Consulting,Computer Systems Analyst,12,"$75,259 "
175,Icore Infotech,Systems Analyst,12,"$75,312 "
124,Concert Tech,Business Analyst,12,"$75,618 "
35,Code Ace Solutions,Java Developer,12,"$76,223 "
34,Codesoft International,Java Developer,12,"$77,375 "
26,Lazard Freres,Programmer/Analyst,12,"$82,917 "
68,Wintek Solutions,Senior Software Engineer,12,"$84,800 "
174,Inj Software Solutions,Systems Analyst,12,"$89,623 "
67,Pantar Solutions,Senior Software Engineer,12,"$94,825 "
9,Viptela,Software Test Engineer,12,"$109,583 "
8,Alcatel-Lucent Usa (Dba Nokia),Software Test Engineer,12,"$120,918 "
170,"Rithwik Infotek,",Computer Programmer,11,"$51,800 "
144,Infoshare Systems,Business Analyst,11,"$56,947 "
169,Element Technologies,Computer Programmer,11,"$59,490 "
200,Donato Technologies,Systems Analyst,11,"$59,586 "
168,Master Informatix Systems,Computer Programmer,11,"$59,992 "
142,Iqlogg,Business Analyst,11,"$60,000 "
123,Agal Solutions,Computer Systems Analyst,11,"$60,000 "
167,Immidi Infotech,Computer Programmer,11,"$61,004 "
198,Hindsight Software Solutions,Systems Analyst,11,"$61,647 "
196,Yasme Soft,Systems Analyst,11,"$62,455 "
166,Ezenius,Computer Programmer,11,"$62,636 "
195,Mobilize,Systems Analyst,11,"$63,000 "
48,Sivees,Database Administrator,11,"$63,427 "
141,Caliber Business Systems,Business Analyst,11,"$63,591 "
121,Bytefield,Computer Systems Analyst,11,"$64,000 "
194,Technocrafts,Systems Analyst,11,"$64,765 "
120,Xtglobal,Computer Systems Analyst,11,"$64,818 "
119,Ondemand Agility Solutions,Computer Systems Analyst,11,"$64,846 "
10,Pactera Technologies,Software Test Engineer,11,"$65,398 "
193,Tech Mahindra Technologies,Systems Analyst,11,"$65,426 "
191,Maple Software,Systems Analyst,11,"$66,145 "
140,Alfa Services Usa,Business Analyst,11,"$66,237 "
165,Vincesolutions,Computer Programmer,11,"$66,682 "
118,Corporate Computer Services,Computer Systems Analyst,11,"$67,280 "
30,Icf Resources,Programmer/Analyst,11,"$67,761 "
12,Epitec,Data Analyst,11,"$68,194 "
188,Indu,Systems Analyst,11,"$69,626 "
163,Born Group Fka Group Fmg,Computer Programmer,11,"$70,545 "
138,A.T. Kearney,Business Analyst,11,"$70,682 "
187,Harken Data,Systems Analyst,11,"$70,791 "
46,International Systems Technologies,Database Administrator,11,"$71,059 "
186,Global Information Systems,Systems Analyst,11,"$72,364 "
116,Technology Consultants,Computer Systems Analyst,11,"$72,611 "
115,Amitech Solutions,Computer Systems Analyst,11,"$73,033 "
162,Espryt,Computer Programmer,11,"$73,484 "
161,Echotech Software Solutions,Computer Programmer,11,"$74,048 "
159,Global Edge Software,Computer Programmer,11,"$74,588 "
47,Swarn,Computer Programmer Analyst,11,"$75,610 "
185,Eclat Integrated Software Solutions,Systems Analyst,11,"$76,182 "
158,Accion Labs Us,Computer Programmer,11,"$79,545 "
184,Bodhtree Solutions,Systems Analyst,11,"$79,636 "
183,Opusing,Systems Analyst,11,"$81,273 "
182,Stratitude,Systems Analyst,11,"$91,261 "
75,Indus Valley Partners,Senior Software Engineer,11,"$92,055 "
74,"Trizetto, A Cognizant Company",Senior Software Engineer,11,"$93,861 "
73,Mastercard International,Senior Software Engineer,11,"$97,874 "
72,Harman Becker Automotive Systems,Senior Software Engineer,11,"$103,074 "
12,Citadel,Developer,11,"$141,136 "
71,Box,Senior Software Engineer,11,"$166,406 "
54,Ameya Infotechnologies,Computer Programmer Analyst,10,"$54,038 "
53,Anjana Software Solutions,Computer Programmer Analyst,10,"$56,380 "
181,United Software,Computer Programmer,10,"$59,112 "
134,Softpros,Computer Systems Analyst,10,"$59,455 "
30,Logan Data,Qa Analyst,10,"$59,570 "
133,Resourznet Solutions,Computer Systems Analyst,10,"$60,300 "
164,Smart It Frame,Business Analyst,10,"$60,440 "
163,Technocraft Solutions,Business Analyst,10,"$60,552 "
210,Excerio,Systems Analyst,10,"$60,607 "
161,Sourceinfotech,Business Analyst,10,"$60,900 "
209,Techtheme Solutions,Systems Analyst,10,"$61,000 "
208,Tech Profy,Systems Analyst,10,"$61,517 "
179,V Tek Solutions,Computer Programmer,10,"$61,750 "
160,Ellianse,Business Analyst,10,"$61,940 "
206,Nettlinx,Systems Analyst,10,"$61,970 "
159,Renowned,Business Analyst,10,"$62,000 "
29,Kee Technologies Group,Qa Analyst,10,"$62,039 "
205,Gannu Software,Systems Analyst,10,"$62,200 "
132,Valsoft Services,Computer Systems Analyst,10,"$62,500 "
178,Jsm Consulting,Computer Programmer,10,"$62,583 "
177,Techizee,Computer Programmer,10,"$62,768 "
157,Ab Star Group,Business Analyst,10,"$62,781 "
46,It Resources,Java Developer,10,"$64,108 "
45,Kanhi Systems,Java Developer,10,"$64,256 "
204,Unikon It,Systems Analyst,10,"$64,400 "
155,Software Catalysts,Business Analyst,10,"$64,850 "
203,Appnet Global,Systems Analyst,10,"$65,000 "
174,Wise Men Consultants,Computer Programmer,10,"$65,200 "
44,Cyg Tec,Java Developer,10,"$65,487 "
51,Ka-Sapsolutions,Computer Programmer Analyst,10,"$65,800 "
154,Imedglobal,Business Analyst,10,"$65,924 "
130,Vied Technologies,Computer Systems Analyst,10,"$66,399 "
57,Yash Solutions,Database Administrator,10,"$67,783 "
153,E-Base Technologies,Business Analyst,10,"$67,906 "
43,Nexgen Technologies,Java Developer,10,"$67,979 "
14,Hanusoft,Data Analyst,10,"$68,150 "
129,Anid Infosoft,Computer Systems Analyst,10,"$68,400 "
151,Stellium,Business Analyst,10,"$70,000 "
128,Dynamic Access Systems,Computer Systems Analyst,10,"$70,000 "
150,Cloudnetsource,Business Analyst,10,"$72,000 "
149,Real World Technologies,Business Analyst,10,"$72,037 "
127,Techmagix,Computer Systems Analyst,10,"$72,100 "
148,Mirage Software Dba: Bourntec Solutions,Business Analyst,10,"$72,500 "
202,Tru Solution Systems,Systems Analyst,10,"$72,800 "
16,Pica9,Developer,10,"$73,505 "
42,Cerebral Technologies,Java Developer,10,"$74,543 "
126,Meridiansoft,Computer Systems Analyst,10,"$74,700 "
36,Morgan Stanley Smith Barney,Programmer/Analyst,10,"$74,800 "
125,Endue,Computer Systems Analyst,10,"$77,127 "
50,Infisunergy It,Computer Programmer Analyst,10,"$80,250 "
49,Humetis Technologies,Computer Programmer Analyst,10,"$81,516 "
124,Expicient,Computer Systems Analyst,10,"$81,700 "
52,Datawin Systems,Database Administrator,10,"$82,400 "
35,Highradius,Programmer/Analyst,10,"$83,550 "
34,Bank Of America,Programmer/Analyst,10,"$85,000 "
33,Bnp Paribas Usa,Programmer/Analyst,10,"$85,900 "
32,Morgan Stanley Fund Services,Programmer/Analyst,10,"$86,000 "
82,Innocore Solutions,Senior Software Engineer,10,"$88,290 "
171,Encore Software Services,Computer Programmer,10,"$91,400 "
48,Smart Erp Solutions,Computer Programmer Analyst,10,"$93,131 "
15,Sap America,Developer,10,"$93,490 "
81,Ameriinfo,Senior Software Engineer,10,"$99,896 "
80,Lexisnexis Risk Data Management,Senior Software Engineer,10,"$106,876 "
79,Keste,Senior Software Engineer,10,"$107,342 "
78,Vision3 Solutions,Senior Software Engineer,10,"$109,000 "
77,Adap.Tv,Senior Software Engineer,10,"$109,063 "
14,Markit North America,Developer,10,"$111,731 "
195,Asius,Computer Programmer,9,"$53,109 "
57,Tsq Systems,Computer Programmer Analyst,9,"$58,365 "
187,Ohm Tech,Business Analyst,9,"$58,556 "
193,Agiletal,Computer Programmer,9,"$59,262 "
191,Vis Software Solutions,Computer Programmer,9,"$60,000 "
68,Greenbyte Technologies,Database Administrator,9,"$60,000 "
186,360 It Professionals,Business Analyst,9,"$60,521 "
190,Infopro,Computer Programmer,9,"$61,111 "
225,Sphinix Network Solutions,Systems Analyst,9,"$61,945 "
224,Vrn Jobs,Systems Analyst,9,"$62,000 "
36,Qverge LLC,Qa Analyst,9,"$62,549 "
223,Andhus Technologies,Systems Analyst,9,"$62,556 "
222,Infoshire,Systems Analyst,9,"$62,778 "
183,Mintex Tech,Business Analyst,9,"$63,614 "
149,E Computer Technologies,Computer Systems Analyst,9,"$63,889 "
148,Tek And Company,Computer Systems Analyst,9,"$64,000 "
56,Reliable Greenergy Usa,Computer Programmer Analyst,9,"$64,000 "
92,Ibs Software Services Americas,Senior Software Engineer,9,"$64,111 "
189,Us Software Professionals,Computer Programmer,9,"$64,507 "
35,Integrated Technology Services,Qa Analyst,9,"$65,000 "
146,Pns Software,Computer Systems Analyst,9,"$65,129 "
221,Nanosemantics,Systems Analyst,9,"$65,525 "
19,Envision Infosolutions,Application Developer,9,"$66,111 "
188,Intellipro Group,Computer Programmer,9,"$66,222 "
145,Techorbit,Computer Systems Analyst,9,"$66,222 "
187,Tcg Digital Solutions,Computer Programmer,9,"$66,239 "
186,Iontech Consulting,Computer Programmer,9,"$66,889 "
19,Verisk Health,Data Analyst,9,"$67,676 "
18,Home Depot Usa,Data Analyst,9,"$67,778 "
144,Technozant,Computer Systems Analyst,9,"$68,344 "
177,Siliconhire,Business Analyst,9,"$69,101 "
143,Quantum Infotech,Computer Systems Analyst,9,"$69,841 "
220,Code Tech,Systems Analyst,9,"$69,889 "
219,Kairos Technologies,Systems Analyst,9,"$70,316 "
218,Strategy Soft,Systems Analyst,9,"$70,556 "
185,Sharpedge Solutions,Computer Programmer,9,"$70,778 "
184,Idea Helix,Computer Programmer,9,"$71,111 "
39,Altman Vilandrie & Company,Programmer/Analyst,9,"$71,111 "
175,Opus Consulting Solutions,Business Analyst,9,"$71,724 "
141,Waferwire,Computer Systems Analyst,9,"$72,000 "
49,Akt,Java Developer,9,"$72,333 "
183,Innominds Software,Computer Programmer,9,"$72,778 "
18,Revere Info Tech,Application Developer,9,"$73,615 "
217,Sdilogic,Systems Analyst,9,"$73,778 "
140,Itprofound,Computer Systems Analyst,9,"$73,849 "
139,Hermitage Infotech,Computer Systems Analyst,9,"$73,978 "
32,Next Level Business Services,Qa Analyst,9,"$74,444 "
138,Rapid Value Solutions,Computer Systems Analyst,9,"$75,167 "
216,Oasys Technologies,Systems Analyst,9,"$76,321 "
38,Latentview Analytics,Programmer/Analyst,9,"$77,000 "
91,Qburst Technologies,Senior Software Engineer,9,"$77,556 "
37,American Airlines,Programmer/Analyst,9,"$78,851 "
137,Etq Management Consultants,Computer Systems Analyst,9,"$79,236 "
214,Idol Soft,Systems Analyst,9,"$81,111 "
182,Scrumlink,Computer Programmer,9,"$81,111 "
136,Technosoft,Computer Systems Analyst,9,"$81,222 "
135,Softlabs Na,Computer Systems Analyst,9,"$81,672 "
213,Tetrasoft,Systems Analyst,9,"$83,278 "
17,Cloudwick Technologies,Application Developer,9,"$84,188 "
90,Infor (Us),Senior Software Engineer,9,"$93,185 "
17,Sybase,Developer,9,"$99,012 "
89,Aci Worldwide,Senior Software Engineer,9,"$100,191 "
88,Pros,Senior Software Engineer,9,"$100,923 "
211,Simeio Solutions,Systems Analyst,9,"$104,518 "
87,Here North America,Senior Software Engineer,9,"$109,513 "
85,Twilio,Senior Software Engineer,9,"$142,710 "
84,Lifelock,Senior Software Engineer,9,"$145,425 "
221,VIRTUAL NETWORX,Computer Programmer,8,"$45,011 "
220,Cetetek Technology,Computer Programmer,8,"$47,403 "
219,Vtekh,Computer Programmer,8,"$49,314 "
59,Crux It Consulting Services,Computer Programmer Analyst,8,"$50,000 "
218,Findskills,Computer Programmer,8,"$52,253 "
219,Idealogix,Business Analyst,8,"$53,082 "
218,Ascii Global,Business Analyst,8,"$54,600 "
48,Progress Solutions,Qa Analyst,8,"$54,982 "
43,Kantar Retail America,Programmer/Analyst,8,"$55,000 "
217,Protech It Resources,Computer Programmer,8,"$59,288 "
45,Objects On Net,Qa Analyst,8,"$59,375 "
216,Ecom Consulting,Business Analyst,8,"$59,376 "
216,Trendmark,Computer Programmer,8,"$59,608 "
213,Elite Solutions,Business Analyst,8,"$60,000 "
213,Tech Matrix,Business Analyst,8,"$60,000 "
213,Health Information Management,Business Analyst,8,"$60,000 "
215,International Computerware,Computer Programmer,8,"$60,313 "
214,Mindsor,Computer Programmer,8,"$60,549 "
167,Aruna Info,Computer Systems Analyst,8,"$60,825 "
213,Zaspar Technologies,Computer Programmer,8,"$60,875 "
212,Systemart,Computer Programmer,8,"$61,000 "
44,Suntechpros,Qa Analyst,8,"$61,875 "
166,Axis Technology Solutions,Computer Systems Analyst,8,"$61,925 "
211,R & R Systems,Computer Programmer,8,"$62,304 "
207,Tekenergy,Business Analyst,8,"$62,375 "
206,Altomni Corp,Business Analyst,8,"$62,400 "
43,Maven Companies,Qa Analyst,8,"$62,625 "
165,108 Info System,Computer Systems Analyst,8,"$64,000 "
20,Aspyretech,Data Analyst,8,"$64,000 "
75,Advaitaa Technologies,Database Administrator,8,"$64,375 "
203,Texperts,Business Analyst,8,"$64,480 "
164,United Software Solutions,Computer Systems Analyst,8,"$64,875 "
209,Novateur Technologies,Computer Programmer,8,"$65,000 "
201,Optimum Technology,Business Analyst,8,"$65,000 "
163,Allied It Consultancy,Computer Systems Analyst,8,"$65,000 "
208,Sage Group Consulting,Computer Programmer,8,"$65,020 "
162,Sierra Consulting,Computer Systems Analyst,8,"$65,578 "
27,Reva Enterprises,Application Developer,8,"$65,811 "
20,Highpoint Solutions,Developer,8,"$65,863 "
200,Datalysys,Business Analyst,8,"$65,993 "
57,Anira Solutions,Java Developer,8,"$66,000 "
56,Veritis Group,Java Developer,8,"$66,098 "
207,Divihn Integration,Computer Programmer,8,"$66,304 "
206,Tcg Digital Software,Computer Programmer,8,"$66,394 "
204,Savi Technologies,Computer Programmer,8,"$66,875 "
73,Optimum I T Solutions,Database Administrator,8,"$66,875 "
161,Jiva Infotech,Computer Systems Analyst,8,"$67,288 "
203,Sonata Software North America,Computer Programmer,8,"$67,370 "
160,P3 Geeks,Computer Systems Analyst,8,"$67,500 "
58,Intuites,Computer Programmer Analyst,8,"$67,500 "
42,Vnc Communications D/B/A Performics,Programmer/Analyst,8,"$67,500 "
71,Elan Technologies,Database Administrator,8,"$69,467 "
70,Tektra It Services,Database Administrator,8,"$70,000 "
198,Corp2corp,Business Analyst,8,"$70,349 "
159,Infisystems,Computer Systems Analyst,8,"$70,375 "
196,Standav,Business Analyst,8,"$70,416 "
54,Sri Anjaneya Technologies,Java Developer,8,"$70,881 "
158,Supremesoft,Computer Systems Analyst,8,"$71,200 "
202,Tekvista,Computer Programmer,8,"$71,250 "
157,Atosha,Computer Systems Analyst,8,"$71,370 "
201,Agranee Tech,Computer Programmer,8,"$71,387 "
69,"Yeskay Systems,",Database Administrator,8,"$71,500 "
156,Gowork Solutions,Computer Systems Analyst,8,"$71,875 "
155,Primus Global Services,Computer Systems Analyst,8,"$72,100 "
53,Isolvers,Java Developer,8,"$72,125 "
200,Derex Technologies,Computer Programmer,8,"$74,638 "
51,Arkstek,Java Developer,8,"$74,831 "
39,Advancesoft,Qa Analyst,8,"$75,875 "
153,Rites,Computer Systems Analyst,8,"$75,920 "
199,Swift Solutions,Computer Programmer,8,"$76,625 "
194,Ana-Data Consulting,Business Analyst,8,"$77,126 "
198,Brillersys,Computer Programmer,8,"$77,320 "
152,Akraya,Computer Systems Analyst,8,"$78,027 "
192,Zs Associates,Business Analyst,8,"$79,073 "
191,3edgeusagroup,Business Analyst,8,"$80,500 "
197,Global American Staffing,Computer Programmer,8,"$86,346 "
111,Verizon Digital Media Services,Senior Software Engineer,8,"$87,630 "
110,Hawaii Medical Service Association,Senior Software Engineer,8,"$87,882 "
196,Cyber Group,Computer Programmer,8,"$88,375 "
109,Oclc Online Computer Library Center,Senior Software Engineer,8,"$91,198 "
23,Tekmark Global Solutions,Application Developer,8,"$93,429 "
108,Ptc,Senior Software Engineer,8,"$97,636 "
107,Arris Technology,Senior Software Engineer,8,"$100,098 "
22,Equifax Information Services,Application Developer,8,"$100,433 "
21,Adp Technology Services,Application Developer,8,"$103,668 "
189,Osi Consulting,Business Analyst,8,"$103,750 "
105,Priceline.Com,Senior Software Engineer,8,"$109,665 "
104,General Motors Company,Senior Software Engineer,8,"$116,716 "
103,Infoblox,Senior Software Engineer,8,"$120,552 "
102,Rakuten Marketing,Senior Software Engineer,8,"$120,625 "
101,Blizzard Entertainment,Senior Software Engineer,8,"$120,877 "
100,Digital Insight,Senior Software Engineer,8,"$127,063 "
99,Getgo,Senior Software Engineer,8,"$128,397 "
98,Okta,Senior Software Engineer,8,"$131,215 "
96,Sony Network Entertainment International,Senior Software Engineer,8,"$132,846 "
95,Baha Industries,Senior Software Engineer,8,"$135,750 "
94,Guidewire Software,Senior Software Engineer,8,"$142,991 "
41,"Balyasny Asset Management, L.P.",Programmer/Analyst,8,"$146,249 "
93,Kpi Partners,Senior Software Engineer,8,"$150,125 "
59,Nmk Global,Qa Analyst,7,"$58,088 "
22,Cymansys Solutions,Data Analyst,7,"$58,571 "
24,Global It Solutions Usi,Developer,7,"$59,729 "
14,Allabouttech,Software Test Engineer,7,"$60,000 "
183,Smilesys,Computer Systems Analyst,7,"$60,133 "
60,Software Bots,Computer Programmer Analyst,7,"$61,081 "
30,Prominent It Solutions,Application Developer,7,"$61,611 "
23,Silicon Tech Solutions,Developer,7,"$62,714 "
182,American It Source,Computer Systems Analyst,7,"$62,857 "
180,Horizon Advanced Systems,Computer Systems Analyst,7,"$63,286 "
91,Appsys Global,Database Administrator,7,"$64,000 "
53,Icon It Group,Qa Analyst,7,"$65,714 "
67,Uktha Global,Java Developer,7,"$65,898 "
87,Lorhan,Database Administrator,7,"$68,000 "
65,Radical Software Solutions,Java Developer,7,"$69,714 "
64,Infinity Tech Group,Java Developer,7,"$72,437 "
63,Palatial Technologies,Java Developer,7,"$73,870 "
29,Ecs Financial Services,Application Developer,7,"$74,714 "
86,Innovatech Solutions,Database Administrator,7,"$75,600 "
127,Krish Info Tech,Senior Software Engineer,7,"$80,000 "
61,Millennium Software,Java Developer,7,"$83,105 "
222,Schoolcity,Computer Programmer,7,"$83,576 "
173,Levanture,Computer Systems Analyst,7,"$84,000 "
125,Royal Cyber,Senior Software Engineer,7,"$89,286 "
225,Integrated Resources,Business Analyst,7,"$90,011 "
224,Circular Edge,Business Analyst,7,"$90,103 "
223,Netcracker Technology,Business Analyst,7,"$94,572 "
44,Antuit,Programmer/Analyst,7,"$95,000 "
124,Fis Management Services,Senior Software Engineer,7,"$95,418 "
222,Sapiens Na Insurance Solutions,Business Analyst,7,"$99,143 "
170,Teradata Operations,Computer Systems Analyst,7,"$100,311 "
28,Altera,Application Developer,7,"$101,179 "
123,Interactive Communications International,Senior Software Engineer,7,"$101,899 "
121,Premier,Senior Software Engineer,7,"$103,007 "
21,Hartford Fire Insurance Company,Developer,7,"$106,024 "
221,Professional Access,Business Analyst,7,"$108,429 "
60,Adecco Technical,Java Developer,7,"$108,832 "
59,Divensi,Java Developer,7,"$109,273 "
119,Dealertrack,Senior Software Engineer,7,"$110,213 "
220,Slalom,Business Analyst,7,"$111,714 "
118,Xilinx,Senior Software Engineer,7,"$114,394 "
117,Trinet Hr,Senior Software Engineer,7,"$121,721 "
169,Ntt Data Enterprise Services,Computer Systems Analyst,7,"$121,919 "
116,Cornerstone Ondemand,Senior Software Engineer,7,"$131,870 "
115,Kohl's Department Stores,Senior Software Engineer,7,"$141,161 "
114,Zillow,Senior Software Engineer,7,"$153,759 "
112,Medallia,Senior Software Engineer,7,"$163,143 "
215,Hypervisor Technologies,Computer Systems Analyst,6,"$49,167 "
65,Hitek Force,Computer Programmer Analyst,6,"$50,000 "
30,Manhattan Telecommunications,Data Analyst,6,"$52,168 "
214,Armo Consultants,Computer Systems Analyst,6,"$57,402 "
109,Logic Bridge,Database Administrator,6,"$60,000 "
69,Xpert Technologies,Qa Analyst,6,"$60,000 "
29,Quardent,Data Analyst,6,"$60,000 "
212,Indus Group,Computer Systems Analyst,6,"$60,747 "
108,Key Business Solutions,Database Administrator,6,"$61,000 "
67,Rsm Technology Solutions,Qa Analyst,6,"$61,333 "
211,Flatmind Technologies,Computer Systems Analyst,6,"$61,701 "
36,Trustees Of The University Of Pennsylvania,Application Developer,6,"$61,802 "
28,Berg,Data Analyst,6,"$62,000 "
105,Wave Era,Database Administrator,6,"$62,641 "
209,Soothsayer Analytics,Computer Systems Analyst,6,"$62,667 "
